
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
1981-82,NHL,Minnesota North Stars*,80,37,23,20,,94,.588,0.53,-0.19,1st,Lost NHL Division Semi-Finals,G. Sonmor (37-23-20)
1980-81,NHL,Minnesota North Stars*,80,35,28,17,,87,.544,0.33,-0.02,3rd,Lost Stanley Cup Final,G. Sonmor (35-28-17)
1979-80,NHL,Minnesota North Stars*,80,36,28,16,,88,.550,0.69,-0.04,3rd,Lost NHL Semi-Finals,G. Sonmor (36-28-16)
1978-79,NHL,Minnesota North Stars,80,28,40,12,,68,.425,-0.40,0.00,4th,,H. Howell (3-6-2) G. Sonmor (25-34-10)
1977-78,NHL,Minnesota North Stars,80,18,53,9,,45,.281,-1.31,0.03,5th,,T. Harris (5-12-2) A. Beaulieu (6-23-3) L. Nanne (7-18-4)
1976-77,NHL,Minnesota North Stars*,80,23,39,18,,64,.400,-0.88,-0.01,2nd,Lost NHL Preliminary Round,T. Harris (23-39-18)
1975-76,NHL,Minnesota North Stars,80,20,53,7,,47,.294,-1.32,0.03,4th,,T. Harris (20-53-7)
1974-75,NHL,Minnesota North Stars,80,23,50,7,,53,.331,-1.43,0.07,4th,,J. Gordon (11-22-5) C. Burns (12-28-2)
1973-74,NHL,Minnesota North Stars,78,23,38,17,,63,.404,-0.49,0.03,7th,,J. Gordon (3-8-6) P. MacDonald (20-30-11)
1972-73,NHL,Minnesota North Stars*,78,37,30,11,,85,.545,0.29,-0.02,3rd,Lost NHL Quarter-Finals,J. Gordon (37-30-11)
1971-72,NHL,Minnesota North Stars*,78,37,29,12,,86,.551,0.25,-0.02,2nd,Lost NHL Quarter-Finals,J. Gordon (37-29-12)
1970-71,NHL,Minnesota North Stars*,78,28,34,16,,72,.462,-0.38,0.03,4th,Lost NHL Semi-Finals,J. Gordon (28-34-16)
1969-70,NHL,Minnesota North Stars*,76,19,35,22,,60,.395,-0.48,-0.05,3rd,Lost NHL Quarter-Finals,W. Blair (9-13-10) C. Burns (10-22-12)
1968-69,NHL,Minnesota North Stars,76,18,43,15,,51,.336,-1.05,0.02,6th,,W. Blair (12-20-9) J. Muckler (6-23-6)
1967-68,NHL,Minnesota North Stars*,74,27,32,15,,69,.466,-0.66,-0.19,4th,Lost NHL Semi-Finals,W. Blair (27-32-15)
