
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
1981-82,NHL,Calgary Flames*,80,29,34,17,,75,.469,-0.18,-0.04,3rd,Lost NHL Division Semi-Finals,A. MacNeil (29-34-17)
1980-81,NHL,Calgary Flames*,80,39,27,14,,92,.575,0.37,-0.02,3rd,Lost NHL Semi-Finals,A. MacNeil (39-27-14)
1979-80,NHL,Atlanta Flames*,80,35,32,13,,83,.519,0.16,-0.01,4th,Lost NHL Preliminary Round,A. MacNeil (35-32-13)
1978-79,NHL,Atlanta Flames*,80,41,31,8,,90,.563,0.67,0.08,4th,Lost NHL Preliminary Round,F. Creighton (41-31-8)
1977-78,NHL,Atlanta Flames*,80,34,27,19,,87,.544,0.28,0.00,3rd,Lost NHL Preliminary Round,F. Creighton (34-27-19)
1976-77,NHL,Atlanta Flames*,80,34,34,12,,80,.500,-0.01,0.00,3rd,Lost NHL Preliminary Round,F. Creighton (34-34-12)
1975-76,NHL,Atlanta Flames*,80,35,33,12,,82,.513,0.31,0.00,3rd,Lost NHL Preliminary Round,F. Creighton (35-33-12)
1974-75,NHL,Atlanta Flames,80,34,31,15,,83,.519,0.16,0.03,4th,,B. Geoffrion (22-20-10) F. Creighton (12-11-5)
1973-74,NHL,Atlanta Flames*,78,30,34,14,,74,.474,-0.28,0.03,4th,Lost NHL Quarter-Finals,B. Geoffrion (30-34-14)
1972-73,NHL,Atlanta Flames,78,25,38,15,,65,.417,-0.57,0.05,7th,,B. Geoffrion (25-38-15)
